median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
266700,3.9792,15,412,128,310,137,33.96,-118.41
234100,4.9079,26,2406,411,1313,391,34.26,-119.21
200000,10.0263,52,154,28,37,16,35.42,-119.11
290500,7.6344,14,1111,142,472,145,32.65,-117.03
224800,4.5294,18,2947,559,1820,551,33.82,-118
111500,3.0156,27,2158,424,1220,442,37.93,-122.33
225600,2.5197,35,1717,478,1628,495,34.2,-118.44
203300,2.1944,33,818,195,664,198,34.04,-118.15
141900,2.9091,23,1882,414,673,277,38.93,-119.99
471600,8.1194,52,2449,312,916,316,37.83,-122.24
140600,1.439,17,1690,464,833,445,38.4,-122.71
275200,4.5625,46,4036,856,1872,833,37.97,-122.59
145600,2.2813,17,3361,925,3264,914,33.98,-118.15
213200,3.6572,26,6262,1645,3001,1505,34.14,-118.1
301700,6.3911,29,4239,653,1890,631,34.28,-118.51
491200,4.3939,22,14034,3020,6266,2952,37.5,-122.31
243800,3.4312,52,2792,461,1177,439,33.99,-118.03
61000,2.2333,36,1518,287,749,255,36.32,-119.63
87500,1.2056,23,588,157,716,173,34,-118.24
102800,2.2452,35,1166,193,574,190,38.6,-121.42
204400,3.3854,31,2293,549,1108,557,32.76,-117.11
161400,1.6875,52,1211,447,1102,392,36.91,-121.75
221500,1.9549,24,3148,908,2850,839,34.2,-118.42
80200,2.7009,35,1093,192,590,190,38.69,-121.37
176100,5.3345,4,3273,495,1497,454,38.16,-122.14
169200,3.3611,23,1939,356,841,364,37.63,-122.06
302400,6.1388,30,3742,633,1721,631,37.33,-121.98
187500,1.475,45,453,146,749,137,37.88,-122.3
500001,12.8763,50,2384,312,836,337,34.12,-118.28
93300,3.2077,9,5643,1005,3166,957,34.42,-117.27
345000,6.7232,5,1495,235,555,201,38.07,-122.55
368900,7.8528,17,2560,396,959,400,37.31,-122.08
217900,3.1033,25,3420,977,1718,947,34.14,-118.12
163100,2.5132,44,1734,364,1133,351,34.06,-118.19
93800,2.1974,22,3430,1214,3618,1092,34.22,-118.48
345800,3.962,43,1606,408,862,354,34,-118.45
368700,6.9081,18,6205,821,2311,756,38.09,-122.61
193800,3.9792,42,779,145,450,148,34.19,-118.41
101600,3.175,27,321,64,214,67,34,-117.34
384700,3.2708,46,1033,223,462,224,33.53,-117.77
177700,2.2981,26,2141,597,2038,585,33.76,-118.01
145000,2.3824,35,1120,297,659,274,38.44,-122.73
485100,5.2954,52,1782,308,735,307,34.04,-118.43
152500,1.9405,43,1502,477,1844,477,34.04,-118.21
106300,3.55,17,1280,254,707,267,37.09,-119.65
233300,2.6639,29,2329,833,1953,800,34.02,-118.46
500001,10.5424,16,4392,602,1490,578,33.73,-118.06
63000,1.8355,34,842,186,635,165,39.36,-121.69
200900,4.0185,22,3310,688,1807,674,33.83,-117.97
178300,4.7566,23,3792,624,1988,658,33.09,-117.08
500001,9.8937,29,3752,468,1320,471,37.28,-122.03
188300,5.2326,16,1675,354,604,332,32.86,-117.23
158100,4.9904,29,2911,445,1170,460,37.68,-121
122600,3,16,3758,715,1777,615,38.09,-120.46
133200,4.4034,5,6190,993,3615,963,34.09,-117.4
57900,1.9125,39,598,149,366,132,35.35,-119.01
366700,3.5781,37,4524,1005,2099,937,34.17,-118.23
274100,6.7836,18,3574,504,1803,536,37.24,-121.84
162000,2.8348,8,2715,750,2580,718,36.91,-121.77
295500,6.4288,46,2676,427,1022,395,34.2,-118.13
500001,4.6133,29,2937,524,1132,528,33.79,-118.13
121800,3.7366,20,4050,745,2870,761,32.71,-117.02
291500,7.5218,23,4487,584,2024,580,37.23,-121.82
121600,2.6033,22,1249,335,699,308,38.34,-122.71
159100,4.4306,21,4192,752,2101,710,32.78,-116.92
283200,5.1064,16,14891,3984,6270,3595,33.96,-118.43
303800,5.1084,25,3250,546,1452,501,33.94,-117.94
171600,4.0774,35,2017,383,1388,386,33.92,-118.1
120400,2.7,45,1610,406,1148,347,34.41,-118.8
207200,4.9292,17,2830,430,1035,416,34.71,-120.46
500001,7.7848,19,15990,2611,5175,2173,34.02,-118.88
257500,4.2421,43,2661,455,1384,456,37.69,-122.48
500001,10.0346,28,4612,608,1686,567,37.36,-122.07
500001,5.128,29,2737,808,1157,696,33.97,-118.5
152500,3.7958,33,4979,934,2575,874,34.09,-117.72
107200,1.3287,43,1429,386,1412,354,34.01,-118.25
70100,2.4107,21,2010,360,947,306,41.69,-122.56
500001,6.7669,35,2729,538,969,528,37.86,-122.49
113600,2.0089,44,1151,263,518,258,38.56,-121.48
265300,6.6842,25,1837,278,1006,271,37.41,-121.85
202300,2.3393,19,3215,907,3072,870,34.07,-118.11
98000,5.0762,11,1751,316,765,296,35.54,-117.84
350000,2.9934,35,2914,934,1334,870,34.02,-118.5
150000,1.125,20,268,78,77,49,37.94,-121.23
153200,4.7717,19,2121,341,1236,353,32.86,-116.98
84500,2.2974,32,2699,552,2086,551,34.15,-117.35
416700,2.125,6,248,47,119,42,34.02,-117.64
113100,4.7723,9,3631,635,1881,628,36.32,-119.27
104000,2.3347,36,2341,520,2138,523,34.05,-117.66
117600,3.2768,35,2728,451,1290,452,38.36,-121.99
223700,3.5,21,2979,744,1824,692,34.2,-118.58
266700,4.0833,35,1983,385,1577,414,37.69,-122.46
346800,6.203,38,5688,930,2263,908,37.74,-122.45
55900,1.6929,40,1542,341,1283,341,37.29,-120.31
124400,2.9484,15,4488,859,2114,805,38.83,-121.18
263800,3.0777,23,4324,1034,1844,875,36.97,-121.96
209900,5.8831,19,2780,414,1320,404,38.44,-121.27
399300,6.0678,52,1695,281,595,264,34.14,-118.4
166300,2.9875,19,3326,561,1544,511,38.14,-121.05
183800,3.7212,26,2647,536,1422,522,37.69,-121.75
267500,3.9099,33,2717,662,1546,597,34.18,-118.43
128700,2.4464,33,1056,272,964,300,34.06,-117.78
280000,2.8654,52,3510,791,1703,657,37.78,-122.44
500001,7.2986,24,4401,698,1818,685,37.31,-122.07
288800,6.9737,31,2549,355,1044,362,33.77,-117.88
98500,3.3005,12,3783,702,1970,639,40.39,-122.37
127600,4.67,8,6146,1017,2821,987,37.34,-120.48
166400,4.7176,35,2621,391,1074,391,34.08,-117.65
156900,1.6445,18,2829,732,1751,712,37.53,-120.86
106300,2.2188,20,1125,231,521,196,39.14,-122.88
286000,3.4013,27,3588,911,1891,871,34.17,-118.4
258300,1.7857,25,778,135,340,155,38.81,-121.58
265000,3.4605,49,1557,405,1173,385,37.72,-122.44
184000,3.6393,30,4030,772,1777,718,37.97,-122.3
287500,3.1603,14,3771,1180,2355,978,34,-118.42
351200,8.401,26,1589,223,542,211,37.83,-122.2
203400,3.445,8,4942,1173,3012,1033,34.27,-119.2
157800,3.2935,35,1304,343,822,304,38.44,-122.7
264300,3.0461,40,2681,737,1144,669,34.11,-118.29
323000,3.8021,45,2092,451,1190,429,33.99,-118.43
177300,2.9228,35,2949,794,2106,746,34.18,-118.37
284100,5.5785,17,1457,289,591,235,37.15,-122.18
192400,2.875,41,1524,393,1176,375,34.19,-118.34
164800,5.6973,25,2999,439,1396,458,33.89,-117.55
68700,3.2813,31,2576,458,1306,418,36.8,-119.69
219600,4.5417,36,1557,270,697,251,33.84,-118.1
120200,2.7437,18,3172,632,1621,573,34.09,-117.43
235500,3.4345,37,2988,677,2354,666,33.76,-117.88
140400,2.9643,48,2225,433,1170,401,33.99,-118.34
178800,2.6959,21,2713,731,1952,722,33.78,-117.86
72100,2.9737,37,1058,224,588,231,38.53,-121.41
400000,3.7958,17,2074,382,1035,359,34.75,-120.18
271900,5.9838,21,3576,554,1846,538,33.74,-117.95
118600,1.7067,49,1412,333,901,328,33.98,-118.32
183200,3.2226,11,3252,701,1814,660,35.32,-120.83
233300,2.084,39,2163,652,1153,599,35.29,-120.66
134800,3.8618,41,1707,276,660,269,33.97,-117.4
139600,3.4,35,777,187,1022,186,34.27,-118.44
251000,4.8264,36,1366,224,719,270,34.18,-118.56
158000,2.8214,40,973,272,1257,258,33.98,-118.19
89700,1.6029,32,721,205,842,208,33.95,-118.29
187100,4.5078,36,1371,246,806,241,34.08,-117.93
137300,3.0723,6,5762,1115,2551,919,34.98,-120.47
160100,3.2143,32,4040,832,2526,798,33.91,-118.03
111800,3.1736,16,2904,551,1467,509,37,-119.48
49500,1.3922,23,1731,363,1210,341,36.7,-119.79
339300,5.3674,26,2379,336,988,346,33.65,-117.97
58000,2.1838,18,945,205,385,207,39.78,-121.59
433300,3.6065,52,4088,946,1906,863,37.8,-122.41
112500,1.675,5,111,26,58,25,37.93,-120.13
156300,1.6156,45,1140,310,840,339,32.72,-117.14
240000,3.9632,50,1542,289,654,268,37.75,-122.23
72500,2.0455,52,191,52,106,49,35.39,-119.02
161900,4.6587,36,2241,419,1743,448,34.05,-117.92
450400,9.0776,5,7178,898,2823,907,37.81,-121.95
125900,2.2308,34,2516,611,1317,594,32.75,-117.06
500001,5.8543,52,6186,1566,2065,1374,37.79,-122.43
208600,3.6989,32,2217,422,1064,427,34.25,-118.46
247900,3.4286,44,2705,649,1676,654,34.16,-118.33
364500,3.358,26,3977,1050,1720,935,34.1,-118.35
90400,1.303,41,1768,475,1721,474,34,-118.25
317700,4.9359,15,2062,327,781,316,35.3,-120.84
500001,10.7937,29,4767,777,1500,638,34.07,-118.48
100000,2.2429,15,1839,489,887,332,39.66,-123.58
350000,2.5197,15,1010,274,649,261,33.67,-117.82
68200,1.2069,47,1648,432,1308,385,34.12,-117.29
273600,6.3809,18,2077,298,937,292,37.94,-122.01
106300,1.4726,37,523,119,374,95,35,-120.58
168200,2.2422,33,2410,641,2106,593,33.97,-118.17
138300,2.2208,15,3895,782,900,529,33.68,-116.42
156400,4.1635,47,1830,369,922,377,33.97,-118.33
346700,6.5858,32,1260,199,560,207,37.29,-121.92
500001,4.625,52,3149,719,1145,658,37.8,-122.44
247800,5.1194,18,4372,736,1473,675,33.12,-117.2
500001,11.1768,52,2113,332,800,327,34.04,-118.41
87000,2.4741,34,1717,354,848,306,38.53,-121.45
279900,3.8287,35,2924,658,1675,602,33.79,-118.32
218800,4.1538,36,2444,432,1199,424,33.84,-118.16
272800,6.5356,15,2355,438,747,450,33.66,-117.83
200500,4.2218,37,3714,708,1956,694,33.85,-118.17
204200,2.9982,25,3794,989,2454,876,34.19,-118.39
283600,2.6864,30,6346,1410,1769,887,35.44,-120.95
273600,3.8214,46,2975,643,1479,577,37.61,-122.41
225000,2.7284,26,1225,199,717,204,33.98,-117.6
235200,3.3682,40,1844,340,719,305,37.31,-121.89
320600,2.6014,36,1156,309,521,304,34.43,-119.72
275000,8,28,26,3,29,9,34.25,-119.23
306800,5.0499,32,1075,170,486,173,37.9,-122.08
288300,4.2136,26,3269,788,1427,696,37.33,-121.96
80400,2.0388,26,2972,603,1972,532,34.11,-117.22
72900,2.5542,35,1620,276,939,277,38.68,-121.37
293800,2.7019,25,1583,460,983,422,34.02,-118.48
172500,3.0222,17,3112,872,1392,680,37.68,-121.78
259200,6.8729,8,3059,500,612,208,33.78,-116.4
231400,5.6975,48,2122,385,926,362,34.18,-118.33
294700,6.7685,21,3770,491,1410,446,32.79,-116.9
59700,1.8523,23,1106,252,790,230,35.37,-118.94
500001,6.5989,44,2007,288,921,307,34.12,-118.04
500001,7.8164,36,1496,247,441,203,33.6,-117.89
123800,1.6716,32,2701,708,1880,590,33.94,-118.29
156400,3.6,37,796,175,740,183,33.9,-118.1
215600,5.152,35,897,156,479,161,33.81,-117.98
363500,5.5941,44,2298,388,849,360,33.97,-118.41
136100,2.6292,32,1640,391,1312,358,34.13,-117.9
91800,2.4962,37,1379,287,835,259,37.75,-122.17
254900,5.6501,4,9755,1748,4662,1583,33.97,-117.74
161100,3.558,42,1768,372,1155,368,33.9,-118.08
301000,4.1033,34,8400,1812,4101,1717,37.64,-122.43
500001,12.2145,19,3625,432,1252,409,37.29,-122.04
103100,3.3214,25,1688,302,879,277,36.38,-119.69
112800,4.1607,24,1014,185,606,194,38.69,-121.25
500001,6.1085,52,2303,350,859,359,37.92,-122.55
81300,1.9206,26,3819,955,3010,932,37.62,-120.98
348300,5.716,27,1145,150,492,160,37.4,-121.83
213400,4.3286,16,2794,476,1387,442,33.05,-117.25
195500,3.3098,30,1631,284,788,284,38.32,-122.49
350000,5.048,26,15,3,11,3,37.6,-122.37
191400,5.2099,35,2478,431,1333,427,33.86,-117.95
99000,0.9166,42,705,173,739,140,33.95,-118.23
140700,4.9125,41,1766,288,753,278,34.04,-117.18
95800,2.0809,21,1684,341,1052,312,37.16,-120.41
266700,3.0718,52,2646,581,1128,522,37.76,-122.24
358000,4.2333,32,2590,607,1132,555,33.92,-118.41
338600,5.0114,18,2516,485,1128,433,33.87,-118.37
95100,2.3833,24,1535,279,726,272,39.59,-121.74
275900,5,32,2970,504,1117,512,38.46,-122.69
163800,3.75,16,1787,361,1446,362,33.17,-117.21
190500,4.0679,24,2558,423,1149,403,38.91,-121.11
174800,5.2692,4,5998,1092,3182,1042,34.02,-117.58
199800,4.6607,29,4101,849,2630,867,34.22,-118.53
232500,6.2924,27,3142,509,1520,503,33.93,-117.98
123700,4.7986,18,2342,402,1264,382,34.03,-117.33
400000,3.2279,48,3551,826,1601,827,34.06,-118.35
181300,4.8194,45,972,181,554,187,34.21,-118.4
267200,5.6015,33,4518,716,2037,764,34.08,-117.87
500001,6.1299,18,3058,661,1377,675,37.37,-122.06
177700,1.9439,17,2545,737,1468,699,33.76,-117.99
398300,3.755,40,2198,611,1023,567,34.01,-118.48
500000,4.1417,52,2296,509,1039,472,37.77,-122.45
137500,2.625,16,50,10,20,6,37.9,-121.24
165000,1.4375,36,561,180,340,127,34.09,-118.33
159400,2.4012,5,5807,1182,2602,1007,34.71,-118.09
63000,1.9657,20,2858,612,1422,589,40.47,-122.29
344000,6.1572,25,2482,360,960,352,33.63,-117.97
214800,6.0434,27,5929,932,2817,828,34.08,-117.77
112500,1.6591,52,55,18,65,22,32.73,-117.17
167700,3.0677,37,1638,407,1341,369,33.93,-118.34
300000,2.125,52,977,289,412,272,34.43,-119.7
111300,2.6847,18,3297,662,1554,578,40.99,-124.08
154400,3.4784,32,1750,333,997,335,32.73,-117.03
214800,4.5491,43,1185,207,657,198,34.12,-118.01
73100,1.9412,42,2217,536,1203,507,38.63,-121.42
83200,3.7452,14,2992,573,1631,526,35.05,-118.19
110700,4.6705,19,5254,894,2155,831,35.36,-119.07
125000,3.0893,52,762,190,600,195,37.79,-122.21
121000,4.1361,26,3909,670,1884,665,34.02,-117.03
243800,3.9038,21,2471,677,1486,689,37.36,-122.02
125000,3.0972,33,832,226,987,220,34.02,-118.18
500001,8.2435,27,1551,254,816,233,34.14,-118.16
156000,2.6842,28,2616,630,2218,621,34.07,-118.18
240400,6.0494,24,2826,547,1738,546,33.72,-117.98
319400,3.0574,25,3442,1050,1890,914,34.03,-118.39
84400,2.6713,35,2943,554,1460,510,38.69,-121.38
500001,15.0001,36,3129,392,862,334,34.09,-118.44
142100,2.2328,46,2230,488,1985,456,34.18,-118.15
111800,2.1136,40,1181,335,1441,337,34.06,-118.2
329300,5.9547,18,1591,268,547,243,32.95,-117.24
71300,2.1182,18,4799,1035,1966,944,33.74,-117.11
200000,1.5394,40,1751,512,1939,503,33.74,-118.28
493000,11.1121,15,3236,451,1289,416,33.63,-117.8
323800,5.2485,35,1813,313,825,316,33.94,-118.12
154700,5.1647,5,3958,665,2456,666,34.04,-117.5
160700,4.5547,10,2198,368,1645,350,32.57,-117.09
175700,5.778,16,3996,550,1673,539,38.37,-122.01
67500,1.9911,10,1879,387,1376,337,32.97,-115.52
268600,3.9615,45,2098,486,1343,481,34.02,-118.38
193100,4.2723,23,1654,299,787,299,38.91,-121.15
180000,3.5455,34,1229,215,1035,218,33.84,-117.95
319000,5.3044,11,4528,729,2398,684,34.21,-119.03
100800,4.5714,29,1871,315,1066,309,36.27,-119.78
177500,2.5556,20,1201,282,601,234,37.08,-122.25
297600,5.2852,25,1348,210,660,200,33.99,-117.96
455000,3.2125,26,1632,376,598,375,33.63,-117.9
325000,6.7978,24,1219,177,610,185,33.99,-117.95
38800,1.9417,20,1193,263,1274,241,36.55,-120.51
104700,2.7714,38,1042,289,773,248,37.95,-122.36
125400,3.8125,15,1850,441,1348,403,37.95,-121.69
116900,4.566,18,3307,547,1738,457,33.99,-117.43
500001,11.1557,24,1521,209,539,192,37.24,-122.04
387500,5.1506,20,10053,1768,3083,1621,36.55,-121.87
308700,5.7396,16,865,123,403,130,36.97,-121.59
342200,6.3314,27,3966,577,1657,611,38.01,-122.55
500001,8.1782,25,11016,1626,4168,1584,33.78,-118.34
283500,4.7325,19,6356,1100,2954,1070,36.99,-121.93
209900,2.7128,26,3971,803,1792,723,35.13,-120.62
106300,2.293,49,1175,217,859,219,37.79,-122.23
170800,3.6125,33,1954,390,1600,376,33.95,-118.05
100500,2.9184,12,4776,1082,4601,1066,36.32,-121.25
260000,2.1389,35,796,281,567,257,34.44,-119.83
158300,3.1719,42,465,93,256,93,37.88,-121.26
241900,4.2727,47,1167,250,953,253,37.72,-122.4
112500,2.0972,52,1682,617,873,534,32.73,-117.16
331200,7.3518,16,2207,291,1081,308,33.71,-117.78
87500,2.1375,39,3521,747,2256,721,34.13,-117.26
126600,2.25,36,873,240,1086,217,33.89,-118.22
243200,5.8899,16,4921,737,2312,725,37.99,-122.27
229800,5.7962,33,2154,405,1655,434,37.39,-122
59800,2.1295,15,3938,789,3500,768,35.76,-119.29
88100,2.0398,46,1832,365,975,373,37.96,-121.32
198100,2.9514,47,1229,243,582,256,37.79,-122.19
500001,8.2961,52,1871,326,646,284,34.06,-118.4
161400,4.3646,41,1531,343,1119,341,33.88,-118.14
224300,4.65,39,1996,389,1029,387,33.97,-118.03
141600,3.2957,35,4036,904,3878,846,34.1,-117.96
146900,3.5732,5,12317,2953,6291,2654,34.67,-118.15
163200,4.9688,4,3078,510,1341,486,34.06,-117.13
159800,2.9016,25,2787,601,1247,522,38.65,-121.27
78400,1.9559,36,1069,228,567,190,38.8,-121.72
239500,4.4286,6,1593,371,832,379,33.7,-117.79
225000,4.575,16,2186,511,908,466,33.77,-117.85
135600,4.3723,19,4741,835,2903,796,33.93,-117.5
173200,5.7049,9,1561,253,731,233,34.66,-118.17
199100,2.4583,29,1599,459,1143,438,34.19,-118.44
109300,2.6976,52,2035,483,904,459,38.58,-121.47
170600,4.0417,44,1219,324,1036,282,34.12,-118.19
141500,3.1964,13,4452,949,2740,937,37.82,-121.22
254800,4.9429,28,2914,489,1500,499,33.8,-117.94
244800,4.5446,45,1106,226,779,205,34.08,-118.11
177200,4.1162,27,2369,370,927,374,32.8,-117.02
70100,2.3147,18,1550,345,941,335,40.94,-124.08
90800,3.8594,45,942,166,401,174,34.15,-117.3
125000,2.5637,37,1503,392,1886,401,33.98,-118.25
235700,2.5268,19,4005,972,1896,893,37.94,-122.06
416100,4.2308,19,2356,440,1291,418,33.75,-118.3
181200,4.108,36,1681,329,964,311,33.95,-118.02
195100,5.2861,6,16431,2640,8222,2553,33.85,-117.58
180800,5.144,27,489,98,403,97,33.85,-118.28
125400,1.9928,42,2043,512,1634,501,34.03,-118.35
141700,2.0185,9,1554,815,1704,761,34.06,-118.29
153400,2.2988,35,2134,650,2248,587,33.95,-118.21
115000,2.9554,17,2029,404,1190,437,34.08,-117.37
177100,4.5179,25,1831,345,809,339,33.81,-118.01
431400,5.7528,27,2826,451,1259,439,37.32,-122.04
201700,3.463,8,2870,526,1307,451,39.08,-121.04
181300,3.1587,11,3112,890,1700,851,34.18,-118.31
384400,5.5922,35,2183,363,988,351,34.45,-119.71
162800,2.7368,23,2503,532,1735,505,33.92,-118.29
500001,10.9805,52,1907,261,681,249,34.04,-118.41
323900,3.5294,33,3854,982,1835,894,34.29,-119.29
84500,1.5633,41,2901,689,1426,632,39.74,-121.85
60800,1.5911,29,2610,597,1659,571,36.07,-119.02
175000,3.0357,38,790,275,664,194,34.09,-118.28
260400,3.375,42,3200,685,1668,628,34.14,-118.07
105300,3.7413,24,3050,568,1743,549,38.03,-121.31
375000,2.8393,26,854,246,396,231,37.58,-122.35
101200,3.5129,25,2336,406,1172,408,38.71,-121.44
107000,2.2917,37,1575,358,933,320,37.76,-122.18
217700,4.7083,20,4461,864,2042,808,37.32,-121.99
263800,4.5521,35,1724,419,1079,394,33.99,-118.42
255300,3.2708,43,733,162,497,175,37.47,-122.21
154800,3.1125,29,1179,249,672,243,37.57,-120.95
266700,5.9941,23,3436,565,1729,529,34.05,-118.11
219300,3.0833,44,2236,411,1036,437,35.29,-120.67
241900,3.7083,31,1262,338,1019,332,34.16,-118.29
245500,4.6808,24,4496,877,1928,855,33.65,-117.9
100100,3.5522,11,13714,2302,6511,2267,40.55,-122.31
175000,0.8438,17,1896,674,971,652,34.15,-118.14
177200,3.4861,30,2572,521,1564,501,33.94,-118.03
474300,3.4286,52,1084,247,468,255,34.07,-118.37
158000,4.375,15,978,187,407,182,34.86,-120.41
314200,6.5814,33,3398,500,1351,457,37.87,-122.11
105800,2.7827,9,4288,1017,3156,900,34.1,-117.45
160200,2.6465,27,2732,867,1690,794,33.86,-118.2
183500,3.6618,23,2305,538,2493,502,33.72,-117.89
249200,2.5687,25,1563,314,737,305,38.46,-122.88
150100,4.0444,15,3660,622,2629,612,32.7,-116.99
250000,4.625,16,30,3,49,8,34.17,-117.27
321800,5.8083,10,1526,339,705,268,34,-118.4
500001,8.7382,34,1559,243,600,242,37.36,-122.22
190900,2.5156,43,1415,348,569,293,37.68,-122.09
139300,2.8438,34,1719,398,1444,372,33.82,-118.21
118000,2.7679,18,2129,363,815,347,38.56,-121.37
137300,3.0417,25,1611,383,554,327,33.67,-117.95
176000,3.2727,17,3308,720,1587,632,38.32,-122.49
205100,5.25,25,1577,266,611,284,32.78,-117.15
143800,1.7083,33,1849,384,218,92,39.17,-120.1
87500,1.5854,42,2541,1282,3974,1189,34.06,-118.26
89800,1.3971,37,1625,383,1243,350,33.96,-118.26
155800,3.4773,31,3256,726,1595,706,32.79,-117
203400,5.2987,18,6572,1105,3473,1067,34.32,-118.41
165300,2.1406,41,679,184,788,185,33.95,-118.2
241600,5.4042,34,1736,297,823,292,33.97,-118.13
59600,1.4318,36,2828,916,1762,736,34.9,-117.06
307000,4.9286,43,1226,244,491,205,38.1,-122.49
225000,2.75,5,949,287,497,244,33.64,-117.92
268300,2.1042,19,1583,392,704,269,35.1,-120.66
154600,3.4722,34,2547,537,2108,498,34.04,-117.98
500001,7.2217,28,3404,497,1134,466,33.54,-117.77
70100,2.5033,9,3860,809,2157,770,36.51,-119.56
194800,3.5,9,4934,1112,3198,977,36.92,-121.77
67500,1.6331,35,1372,360,850,328,38.61,-121.47
291500,5.2962,38,1826,300,793,297,34.14,-118.19
206700,4.8554,11,6341,1030,2697,977,33.16,-117.08
296600,3.7552,45,1771,349,1098,342,37.74,-122.5
225000,1.5727,26,1164,674,1685,541,34.05,-118.27
201800,6.204,19,1687,253,893,257,38.24,-122.62
86500,3.4015,21,1739,425,945,362,35.05,-118
120100,3.8672,15,2039,384,1178,375,38.11,-121.27
258100,6.6073,17,5512,765,2734,814,34.29,-118.75
102100,1.6156,34,2074,562,1913,514,33.96,-118.28
264700,3.7644,14,3103,569,1704,539,33.26,-117.05
75000,2.25,31,790,241,1095,222,34.28,-119.14
71300,2.375,26,48,8,13,8,35.87,-120.13
88600,3.2955,19,3874,676,2441,707,37.35,-120.6
280600,2.8021,47,1800,546,921,478,34.09,-118.35
103600,3.1625,24,1216,289,421,185,38.94,-119.99
259300,5.5875,11,2394,403,1393,409,37.26,-121.83
272500,4.0642,41,2115,378,1168,365,37.73,-122.41
155700,3.6154,52,2735,559,1076,487,38.06,-122.21
205800,4.825,40,2749,580,1375,511,34.13,-118.22
131900,2.2813,15,2514,482,1166,503,38.72,-121.3
170100,4.5568,12,2213,384,1097,351,38.65,-120.93
482200,6.8553,33,5057,790,2021,748,33.81,-118.37
187500,0.6825,17,484,202,198,204,37.65,-121
234900,5.0025,32,3233,553,1678,545,34.2,-118.62
140400,3.2661,30,5201,1104,2961,1064,32.79,-117.18
53400,2.163,18,1109,283,1006,253,33.13,-115.52
61600,1.5281,29,1860,400,1137,365,39.29,-121.68
258300,5.4359,25,3333,511,1671,504,37.51,-121.97
275000,7.5197,42,106,18,40,25,38.22,-122.28
144100,4.8542,17,2713,442,1475,415,38,-121.87
343100,6.8586,21,1059,150,400,154,38.4,-122.65
301600,6.1103,35,2306,334,828,310,32.77,-116.99
241200,5.1663,25,4021,634,2178,650,37.25,-121.82
294800,5.1755,14,8213,1364,3283,1286,37.77,-121.99
372700,7.8383,28,3811,585,1795,581,37.31,-122
202700,2.983,45,1397,253,555,248,37.72,-122.14
283300,2.0672,37,5305,1980,3895,1874,34.1,-118.3
111200,2.837,38,2450,544,1823,536,34.07,-117.64
331800,8.7604,17,2524,332,771,317,32.79,-117.06
191100,4.008,33,3177,713,1845,612,34.26,-118.29
234700,2.7019,22,3527,711,1483,640,34.44,-119.27
165400,3.6818,35,1813,393,1093,374,37.65,-122.08
163300,4.8167,24,2807,501,1653,509,33.92,-117.55
150800,5.1435,22,2331,359,1086,340,37.99,-121.81
289200,6.4339,16,1982,280,1030,297,37.26,-121.85
148000,3.0417,24,1596,388,1329,352,34.14,-117.98
148700,3.9375,17,1712,307,963,329,40.56,-122.45
108900,2.3,10,6317,1335,2625,1094,33.81,-117.02
226300,4.8438,36,1463,257,722,260,33.84,-118.11
54000,1.275,41,461,101,382,79,37.96,-121.27
